epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,249.167,1.03887,0.54965,1,0.93514,0.000237259,0.000237259,0.000237259
2,484.659,0.86974,0.58561,1,0.87995,0.000318423,0.000318423,0.000318423
3,716.178,0.81019,0.58405,1,0.9486,0.000242508,0.000242508,0.000242508
