iter	MultiClass
137	0.5720741841
138	0.57034565
139	0.5686542214
140	0.5680775976
141	0.5665592999
142	0.5646624388
143	0.5632410727
144	0.5610634499
145	0.5590614138
146	0.5571529058
147	0.5558050562
148	0.5546725379
149	0.5524585892
150	0.5513294883
151	0.5501546004
152	0.5485112004
153	0.5463109019
154	0.5447968252
155	0.5434035816
156	0.5414501319
157	0.5402561295
158	0.5383073328
159	0.5368919626
160	0.535252523
161	0.5335173745
162	0.5320062799
163	0.5305263134
164	0.5285806943
165	0.5264303654
166	0.5248384689
167	0.5230895801
168	0.5216781432
169	0.5199920256
170	0.5185841471
171	0.5164502286
172	0.5140728177
173	0.5120717403
174	0.5107828073
175	0.5087255469
176	0.5070984736
177	0.5058000052
178	0.5041084494
179	0.5027047164
180	0.5008259911
181	0.4986353116
182	0.496837376
183	0.4950314689
184	0.4936944442
185	0.4926159812
186	0.4911036436
187	0.4890203693
188	0.4878933229
189	0.4866674616
190	0.4853599113
191	0.484083359
192	0.4827602192
193	0.4804427418
194	0.4793657014
195	0.4776412331
196	0.4761689104
197	0.4751127301
198	0.4736497348
199	0.4726923946
200	0.4717500513
201	0.4707199405
202	0.4687641929
203	0.467793301
204	0.4658825423
205	0.4643449655
206	0.4632018915
207	0.4616318035
208	0.4604711614
209	0.4592423915
210	0.4579399542
211	0.4572220959
212	0.4560024243
213	0.4551335579
214	0.4539352564
215	0.4523768689
216	0.4511068712
217	0.4495890078
218	0.4477200479
219	0.4467685042
220	0.445688256
221	0.4446677628
222	0.4434656101
223	0.44239089
224	0.4410947649
225	0.4398747185
226	0.4390528649
227	0.4374793536
228	0.4364484592
229	0.4351209326
230	0.4340981432
231	0.4332994354
232	0.4320322492
233	0.430830322
234	0.4293751309
235	0.4281004129
236	0.4269463156
237	0.4254793673
238	0.4242529706
239	0.4232961863
240	0.422091556
241	0.4208955137
242	0.4200814775
243	0.4193883495
244	0.418347684
245	0.4170860815
246	0.4157719978
247	0.4144447227
248	0.4136398488
249	0.4127109911
250	0.4116391711
251	0.4107137855
252	0.4098440376
253	0.4087994651
254	0.4081082895
255	0.4067414099
256	0.4059186311
257	0.4050271135
258	0.4036814163
259	0.40296531
260	0.402002511
261	0.4008301724
262	0.3997454536
263	0.3990110687
264	0.397710999
265	0.3970170786
266	0.3961329861
267	0.3955375114
268	0.3942769524
269	0.3934395577
270	0.3922487089
271	0.3912815673
272	0.3902878617
273	0.3893309744
274	0.3880542037
275	0.3873313724
276	0.3866693143
277	0.3853429747
278	0.3841003518
279	0.3833766165
280	0.3823196013
281	0.3813438813
282	0.3804740398
283	0.3793874532
284	0.3785279072
285	0.3775693459
286	0.3767119965
287	0.3751036646
288	0.3740022397
289	0.372967766
290	0.3722511571
291	0.3711507041
292	0.370155208
293	0.3690105376
294	0.3680307463
295	0.3671795774
296	0.3666737351
297	0.3657005059
298	0.3644541933
299	0.36334299
300	0.3625680649
301	0.3609309228
302	0.359762012
303	0.3592315125
304	0.3580998864
305	0.3570398659
306	0.3561787888
307	0.3555412022
308	0.3547172945
309	0.354137378
310	0.3530631296
311	0.3521988339
312	0.351268335
313	0.3508338778
314	0.3495871455
315	0.348379432
316	0.3475692351
317	0.3470788762
318	0.3463340249
319	0.3450885342
320	0.3444165294
321	0.3438362169
322	0.3426453539
323	0.3413793174
324	0.3403011467
325	0.3394578756
326	0.3385000017
327	0.3375064299
328	0.3365490931
329	0.3352836099
330	0.3347399395
331	0.3337336167
332	0.3332693475
333	0.3325589554
334	0.3318522423
335	0.3310271542
336	0.3302519942
337	0.3292948425
338	0.3285342147
339	0.327820891
340	0.3269049735
341	0.3261076409
342	0.3254394158
343	0.3250032192
344	0.3241774368
345	0.3235783844
346	0.3228730163
347	0.3223633514
348	0.3215446359
349	0.3205850586
350	0.3194537443
351	0.3185979797
352	0.3179540761
353	0.3174421033
354	0.3169190723
355	0.3163206983
356	0.3155943943
357	0.3152035581
358	0.314456631
359	0.3133813164
360	0.3127225638
361	0.3119107569
362	0.3112634145
363	0.3103467148
364	0.3095390998
365	0.3087642222
366	0.3077726692
367	0.3069999737
368	0.3062695495
369	0.3057875088
370	0.3050906383
371	0.304117925
372	0.3032969618
373	0.3026877649
374	0.3019483311
375	0.3011701511
376	0.3002505657
377	0.2997816018
378	0.2991834034
379	0.2982459003
380	0.2974314543
381	0.2967438233
382	0.2959640572
383	0.2954746302
384	0.2946480946
385	0.2939173657
386	0.2929622774
387	0.2922692455
388	0.2917788819
389	0.2913457168
390	0.2909586687
391	0.2901992481
392	0.289511362
393	0.2885931082
394	0.287864592
395	0.2870614081
396	0.2863170884
397	0.285648756
398	0.2848662225
399	0.2840942565
400	0.2832912846
401	0.2827181633
402	0.2819853433
403	0.281489253
404	0.2808048885
405	0.2803395068
406	0.279486094
407	0.2790122873
408	0.2784563616
409	0.2777911436
410	0.2771775898
411	0.2761444742
412	0.2755686122
413	0.2747035712
414	0.2740763859
415	0.2733596697
416	0.2726461547
417	0.272315647
418	0.2716498076
419	0.2709952035
420	0.2702369451
421	0.2694096937
422	0.2686467701
423	0.2680599445
424	0.2675838135
425	0.2669737083
426	0.266514051
427	0.2659805076
428	0.2653125809
429	0.2649598256
430	0.2644896769
431	0.2640515956
432	0.2636785078
433	0.2629124454
434	0.2621822781
435	0.2617364652
436	0.2612095953
437	0.260653723
438	0.2598789823
439	0.2590644623
440	0.2586476889
441	0.2577430925
442	0.2571856818
443	0.2567945937
444	0.2563118176
445	0.2558124443
446	0.2555079674
447	0.2550674362
448	0.2545907013
449	0.2539449842
450	0.2534939239
451	0.2528305513
452	0.2521409679
453	0.2516425026
454	0.2514612268
455	0.2507397914
456	0.2502197183
457	0.2495267855
458	0.2491228768
459	0.2488942237
460	0.2482072352
461	0.2477073134
462	0.2469214057
463	0.2463219007
464	0.2458526267
465	0.2453903002
466	0.2447594617
467	0.2443446576
468	0.2437506994
469	0.2431831627
470	0.2427999795
471	0.2422663141
472	0.2416114456
473	0.2411653743
474	0.2406827931
475	0.2400853042
476	0.2395116094
477	0.2389250711
478	0.2384896272
479	0.2377409926
480	0.2372270369
481	0.2366090543
482	0.2361828684
483	0.2356898612
484	0.2348804085
485	0.2344509487
486	0.233835543
487	0.2333605773
488	0.2327593708
489	0.2320493237
490	0.2314193231
491	0.2306193346
492	0.2300939895
493	0.2297202811
494	0.2290747247
495	0.2284221759
496	0.2279919475
497	0.2272003742
498	0.2267541865
499	0.2261832269
500	0.225692504
501	0.2253428042
502	0.2249099626
503	0.2245534701
504	0.2242058369
505	0.2235292183
506	0.2229208435
507	0.222650681
508	0.2221768013
509	0.2213297305
510	0.2208536145
511	0.2204385842
512	0.2200284194
513	0.219529983
514	0.2192051412
515	0.2184832936
516	0.2181450453
517	0.2174820905
518	0.2170579601
519	0.2164655169
520	0.2158386045
521	0.2155118022
522	0.2148916451
523	0.2145893333
524	0.2141587257
525	0.2134111673
526	0.2131280338
527	0.2128025579
528	0.2122450129
529	0.2118149559
530	0.2114449819
531	0.2110493831
532	0.2105371263
533	0.210180468
534	0.2097800261
535	0.2093509228
536	0.2088260557
537	0.2084413329
538	0.2079208519
539	0.2073463172
540	0.2069186601
541	0.206466143
542	0.2059881839
543	0.2053842726
544	0.2048348872
545	0.2045905091
546	0.2040841447
547	0.2035982817
548	0.2031628584
549	0.2028887789
550	0.2024308694
551	0.2019915667
552	0.2014686459
553	0.201304964
554	0.2009223398
555	0.2004622195
556	0.1999690777
557	0.1997547565
558	0.1993394785
559	0.1989265603
560	0.1984690994
561	0.1981759675
562	0.1979267029
563	0.1974289678
564	0.1968812835
565	0.1963423781
566	0.1960197819
567	0.1954893426
568	0.1950173013
569	0.1947253827
570	0.194478286
571	0.1941163358
572	0.1938920447
573	0.1936537673
574	0.193326182
575	0.192974051
576	0.192640768
577	0.1920567028
578	0.191660544
579	0.191283633
580	0.1907273362
581	0.1903031327
582	0.1897779461
583	0.1893905476
584	0.1891600519
585	0.1886203303
586	0.1884368644
587	0.1879459466
588	0.18748577
589	0.1871770763
590	0.18671398
591	0.1863214516
592	0.1858645281
593	0.1854970059
594	0.1850321842
595	0.1846387261
596	0.1841368019
597	0.183744564
598	0.1831967912
599	0.1829196449
600	0.1823620862
601	0.1819489271
602	0.1815940346
603	0.1812010198
604	0.180728157
605	0.1803461632
606	0.1800517383
607	0.1795999664
608	0.1791220656
609	0.1788311454
610	0.1786153054
611	0.178292973
612	0.1780403381
613	0.1777487897
614	0.1774584207
615	0.1771283863
616	0.17681651
617	0.1762988132
618	0.1760415885
619	0.1757244758
620	0.1754707583
621	0.1750741478
622	0.1746697654
623	0.174375772
624	0.1740030823
625	0.1736551027
626	0.1731628257
627	0.1727200284
628	0.1724150234
629	0.1720590631
630	0.1715901347
631	0.1711682905
632	0.1709359817
633	0.1706577345
634	0.1703922743
635	0.1700648019
636	0.1697106353
637	0.169343511
638	0.1689870086
639	0.1686465609
640	0.1683231384
641	0.1681350388
642	0.1678674901
643	0.1676769941
644	0.1673595083
645	0.1668538414
646	0.1665909338
647	0.1664367272
648	0.1661788111
649	0.1657895332
650	0.165423754
651	0.1651767395
652	0.164701422
653	0.1643626002
654	0.1640736632
655	0.1637139252
656	0.1631433563
657	0.1629462259
658	0.162598508
659	0.1621315141
660	0.1617411285
661	0.161228698
662	0.1608966356
663	0.1606357947
664	0.1603184918
665	0.1600108198
666	0.1597353488
667	0.1595110801
668	0.1592958593
669	0.1590964526
670	0.1587706807
671	0.1583702002
672	0.1581535585
673	0.157784658
674	0.1574617124
675	0.1572455983
676	0.1569574522
677	0.156753361
678	0.1564423424
679	0.1560026978
680	0.1558337512
681	0.1555151857
682	0.1551524229
683	0.1550006286
684	0.1545946678
685	0.1543403974
686	0.1541642673
687	0.1538477021
688	0.153608374
689	0.1533237092
690	0.1529237752
691	0.1528000324
692	0.1525243585
693	0.1521957434
694	0.152036193
695	0.1518287736
696	0.1515950531
697	0.1513511103
698	0.1511013196
699	0.1507779589
700	0.1505748306
701	0.1503345995
702	0.1500583969
703	0.1498782364
704	0.1495211527
705	0.1491348591
706	0.1488713504
707	0.1485878636
708	0.1483775296
709	0.1481050039
710	0.1479351251
711	0.1475273078
712	0.1474509703
713	0.1469806569
714	0.1468701975
715	0.1466065256
716	0.1463660952
717	0.1459878752
718	0.1456992605
719	0.1452974044
720	0.1450100048
721	0.144562873
722	0.1442466983
723	0.1439437662
724	0.1435919357
725	0.1433072264
726	0.1429465137
727	0.1425776528
728	0.1422201304
729	0.1419138266
730	0.1415291472
731	0.1413711333
732	0.1410578005
733	0.1407876124
734	0.140453649
735	0.1401969588
736	0.1398678646
737	0.1397170845
738	0.1394568608
739	0.1392111559
740	0.139000831
741	0.1387535804
742	0.1384699559
743	0.1382550044
744	0.137907211
745	0.1377405607
746	0.1375648826
747	0.1371942446
748	0.1369195929
749	0.1367082465
750	0.1364841436
751	0.1362867528
752	0.1361286861
753	0.135844231
754	0.1355906993
755	0.1354074457
756	0.1351790502
757	0.1349699168
758	0.1347868162
759	0.1346346395
760	0.1344748524
761	0.1341785146
762	0.133905193
763	0.1337375673
764	0.1335886904
765	0.1333462345
766	0.1331234132
767	0.1328485048
768	0.1324682975
769	0.1321929051
770	0.1320594139
771	0.1318272591
772	0.1315164885
773	0.131387342
774	0.1311779674
775	0.1309702305
776	0.1308667453
777	0.1306979995
778	0.1303351308
779	0.1298201662
780	0.1296201131
781	0.1295275639
782	0.1293704815
783	0.1289998933
784	0.1287956108
785	0.128684359
786	0.1284665871
787	0.1282701662
788	0.1280060307
789	0.1278680181
790	0.1275380587
791	0.1272853833
792	0.1271282653
793	0.1270054025
794	0.1267740837
795	0.1265812949
796	0.1262748967
797	0.1260554608
798	0.1258599005
799	0.1256995693
800	0.1254562714
801	0.1252273761
802	0.1249944891
803	0.1246846831
804	0.1246238166
805	0.124460214
806	0.1242211326
807	0.1239815284
808	0.1237526547
809	0.123385863
810	0.1231658284
811	0.1230026617
812	0.1229133637
813	0.1227699443
814	0.1225554714
815	0.1223087871
816	0.1219843368
817	0.1218889589
818	0.1217857879
819	0.1215402242
820	0.121403388
821	0.1210195921
822	0.1207399871
823	0.1206381311
824	0.1203712465
825	0.1201520933
826	0.1199830317
827	0.1197857422
828	0.119407347
829	0.1191057708
830	0.1188905056
831	0.1187116383
832	0.1184278353
833	0.1181373467
834	0.1178538668
835	0.1175954585
836	0.1173278716
837	0.1171360089
838	0.1168095415
839	0.1165803352
840	0.1163412656
841	0.1162602621
842	0.1161552471
843	0.1159311795
844	0.1155901873
845	0.1154837768
846	0.1153889418
847	0.1151457541
848	0.1150317319
849	0.1148228852
850	0.1146313164
851	0.1144784291
852	0.1141690546
853	0.1138527993
854	0.1136979967
855	0.1135892539
856	0.1133739402
857	0.113189221
858	0.1129791716
859	0.1128128563
860	0.1126620852
861	0.1123185799
862	0.1121832593
863	0.1120582869
864	0.1118749697
865	0.1117068546
866	0.1114183371
867	0.1111629232
868	0.1110225454
869	0.110757256
870	0.1106190562
871	0.1104900681
872	0.1103083372
873	0.1102191525
874	0.110056693
875	0.1098856706
876	0.1096972008
877	0.1094597988
878	0.1092247709
879	0.1090809362
880	0.1089654385
881	0.1088027963
882	0.108707164
883	0.1085196177
884	0.1082614873
885	0.1080882795
886	0.1078664015
887	0.1077476142
888	0.1075013097
889	0.1073768796
890	0.1071235713
891	0.1069080433
892	0.1067427716
893	0.1065901748
894	0.1064437106
895	0.1062760436
896	0.1061921511
897	0.105982545
898	0.1058716468
899	0.1056820345
900	0.1055559821
901	0.1052773388
902	0.1051774451
903	0.1050547885
904	0.1049306672
905	0.1047449949
906	0.1045996102
907	0.1043494021
908	0.1041376743
909	0.1038824655
910	0.1036569002
911	0.1035378242
912	0.1033391581
913	0.1031280549
914	0.1028358111
915	0.1026756922
916	0.1025367092
917	0.1023544922
918	0.1020977577
919	0.101927533
920	0.101793372
921	0.1015813471
922	0.1013813752
923	0.1012298297
924	0.1011229347
925	0.1010191762
926	0.1008449136
927	0.1008016074
928	0.1005218668
929	0.1003623765
930	0.1001712084
931	0.09991557648
932	0.09976623781
933	0.09957405082
934	0.09944188893
935	0.09930789876
936	0.09914966601
937	0.09903194428
938	0.09884934345
939	0.09867060471
940	0.09850989981
941	0.09838806166
942	0.09821385657
943	0.09807733293
944	0.09797356726
945	0.09779737953
946	0.09761520484
947	0.09742015939
948	0.09730150344
949	0.09702211081
950	0.09679292067
951	0.09668397671
952	0.09653004202
953	0.0964580231
954	0.0963879302
955	0.09626418143
956	0.0960969223
957	0.09591766266
958	0.09579722573
959	0.09557407983
960	0.09552015573
961	0.09536474228
962	0.09508410117
963	0.09496815858
964	0.09478199929
965	0.09462968031
966	0.0944454683
967	0.09427496597
968	0.09416439656
969	0.0940069221
970	0.0938450408
971	0.09371389859
972	0.09357884968
973	0.0933731745
974	0.0932209924
975	0.09311733981
976	0.09297054484
977	0.09285588508
978	0.09277910961
979	0.0925643086
980	0.09238853016
981	0.09217999782
982	0.09211569451
983	0.0920347264
984	0.0918374875
985	0.09169945254
986	0.09155700933
987	0.09147049917
988	0.09138109081
989	0.09117791055
990	0.09095279437
991	0.09085181833
992	0.09069850515
993	0.09055244783
994	0.09043800981
995	0.09036967289
996	0.09023423424
997	0.09004555468
998	0.08994061315
999	0.08978719353
