iter	Passed	Remaining
400	18776	28047
401	18822	27999
402	18870	27953
403	18920	27912
404	19013	27933
405	19075	27908
406	19123	27863
407	19164	27807
408	19226	27782
409	19290	27760
410	19347	27726
411	19408	27698
412	19465	27666
413	19518	27627
414	19566	27581
415	19617	27539
416	19663	27491
417	19718	27454
418	19764	27405
419	19814	27363
420	19861	27315
421	19910	27271
422	19955	27219
423	19999	27168
424	20044	27118
425	20089	27069
426	20141	27028
427	20190	26983
428	20238	26937
429	20280	26884
430	20327	26835
431	20370	26783
432	20412	26729
433	20461	26684
434	20505	26633
435	20552	26586
436	20596	26535
437	20641	26485
438	20684	26433
439	20731	26386
440	20773	26332
441	20818	26282
442	20861	26230
443	20904	26177
444	20950	26129
445	20994	26078
446	21039	26029
447	21083	25977
448	21126	25925
449	21173	25878
450	21212	25821
451	21254	25768
452	21289	25707
453	21332	25654
454	21370	25597
455	21413	25545
456	21454	25491
457	21491	25432
458	21530	25377
459	21607	25365
460	21682	25351
461	21749	25327
462	21798	25282
463	21850	25241
464	21913	25212
465	21980	25187
466	22033	25147
467	22083	25103
468	22139	25066
469	22229	25067
470	22448	25213
471	22570	25248
472	22641	25226
473	22709	25200
474	22780	25178
475	22844	25148
476	22889	25096
477	22941	25053
478	22995	25011
479	23059	24980
480	23111	24937
481	23168	24898
482	23229	24864
483	23280	24819
484	23327	24770
485	23379	24725
486	23439	24690
487	23505	24661
488	23588	24649
489	23672	24638
490	23752	24622
491	23814	24589
492	23870	24548
493	23915	24496
494	23959	24443
495	24006	24393
496	24061	24352
497	24108	24302
498	24154	24251
499	24200	24200
500	24259	24162
501	24325	24131
502	24380	24089
503	24440	24052
504	24495	24010
505	24550	23967
506	24598	23919
507	24654	23878
508	24702	23829
509	24755	23784
510	24812	23743
511	24907	23739
512	25018	23750
513	25101	23734
514	25163	23697
515	25228	23663
516	25285	23622
517	25346	23585
518	25402	23542
519	25451	23493
520	25503	23447
521	25546	23392
522	25594	23343
523	25638	23290
524	25683	23237
525	25803	23252
526	25851	23202
527	25896	23149
528	25941	23097
529	25991	23048
530	26037	22997
531	26077	22940
532	26129	22893
533	26198	22862
534	26254	22819
535	26307	22773
536	26348	22717
537	26391	22663
538	26437	22611
539	26475	22552
540	26514	22495
541	26570	22452
542	26615	22400
543	26657	22344
544	26696	22287
545	26742	22236
546	26798	22192
547	26862	22156
548	26922	22116
549	26964	22061
550	27005	22006
551	27046	21950
552	27091	21898
553	27132	21843
554	27177	21791
555	27221	21738
556	27461	21840
557	27526	21804
558	27580	21758
559	27629	21708
560	27681	21661
561	27725	21607
562	27785	21566
563	27857	21535
564	27908	21486
565	27952	21433
566	27999	21381
567	28042	21328
568	28086	21274
569	28131	21221
570	28175	21168
571	28223	21118
572	28269	21066
573	28314	21013
574	28356	20959
575	28404	20908
576	28445	20853
577	28488	20799
578	28534	20747
579	28575	20692
580	28622	20641
581	28676	20596
582	28744	20559
583	28793	20510
584	28840	20459
585	28889	20409
586	28944	20364
587	29001	20320
588	29054	20274
589	29106	20226
590	29163	20182
591	29207	20129
592	29270	20089
593	29484	20152
594	29589	20140
595	29650	20098
596	29712	20056
597	29759	20005
598	29811	19957
599	29857	19905
600	29904	19853
601	29951	19801
602	29993	19747
603	30041	19696
604	30083	19641
605	30128	19588
606	30174	19536
607	30220	19484
608	30264	19431
609	30306	19376
610	30353	19324
611	30396	19271
612	30439	19217
613	30478	19160
614	30520	19106
615	30561	19051
616	30604	18997
617	30649	18945
618	30691	18890
619	30733	18836
620	30779	18785
621	30840	18742
622	30886	18690
623	30950	18649
624	31009	18605
625	31073	18564
626	31133	18521
627	31205	18484
628	31268	18442
629	31321	18395
630	31377	18349
631	31432	18302
632	31484	18254
633	31535	18204
634	31579	18152
635	31620	18097
636	31668	18046
637	31712	17993
638	31752	17938
639	31803	17889
640	31852	17839
641	31896	17786
642	31936	17731
643	31974	17675
644	32018	17622
645	32057	17567
646	32118	17523
647	32185	17483
648	32228	17430
649	32271	17377
650	32318	17326
651	32362	17273
652	32404	17219
653	32452	17169
654	32498	17117
655	32548	17068
656	32590	17014
657	32636	16963
658	32681	16911
659	32726	16859
660	32771	16807
661	32813	16753
662	32856	16701
663	32899	16648
664	32949	16598
665	33009	16554
666	33056	16503
667	33102	16452
668	33153	16403
669	33195	16350
670	33242	16299
671	33290	16249
672	33340	16199
673	33388	16149
674	33434	16098
675	33477	16045
676	33524	15994
677	33566	15941
678	33608	15888
679	33657	15838
680	33721	15796
681	33770	15746
682	33847	15709
683	33958	15688
684	34021	15645
685	34072	15596
686	34125	15547
687	34187	15503
688	34276	15471
689	34341	15428
690	34417	15390
691	34495	15353
692	34550	15305
693	34602	15256
694	34690	15224
695	34751	15178
696	34804	15130
697	34850	15078
698	34909	15032
699	34963	14984
700	35021	14937
701	35068	14886
702	35129	14841
703	35186	14794
704	35250	14750
705	35323	14709
706	35370	14658
707	35426	14610
708	35477	14561
709	35532	14513
710	35580	14462
711	35624	14410
712	35680	14362
713	35752	14321
714	35806	14272
715	35853	14221
716	35913	14175
717	35984	14133
718	36042	14086
719	36096	14037
720	36146	13987
721	36200	13938
722	36255	13890
723	36305	13840
724	36353	13789
725	36400	13737
726	36466	13693
727	36518	13644
728	36584	13600
729	36624	13546
730	36668	13493
731	36716	13442
732	36765	13391
733	36816	13342
734	36859	13289
735	36918	13242
736	37002	13204
737	37054	13154
738	37111	13107
739	37155	13054
740	37203	13003
741	37244	12950
742	37289	12898
743	37350	12851
744	37407	12803
745	37460	12754
746	37526	12709
747	37606	12669
748	37794	12665
749	37928	12642
750	37982	12593
751	38042	12545
752	38094	12495
753	38154	12448
754	38201	12396
755	38251	12345
756	38305	12296
757	38384	12254
758	38429	12202
759	38473	12149
760	38528	12100
761	38590	12053
762	38661	12008
763	38705	11956
764	38758	11906
765	38817	11858
766	38865	11806
767	38904	11752
768	38953	11701
769	38997	11648
770	39045	11597
771	39085	11543
772	39129	11490
773	39175	11438
774	39220	11386
775	39283	11339
776	39338	11290
777	39394	11241
778	39445	11190
779	39504	11142
780	39554	11091
781	39604	11040
782	39649	10988
783	39699	10937
784	39741	10884
785	39789	10833
786	39836	10781
787	39889	10731
788	39938	10680
789	39984	10628
790	40030	10576
791	40076	10525
792	40122	10473
793	40168	10421
794	40215	10370
795	40256	10316
796	40308	10266
797	40353	10214
798	40401	10163
799	40442	10110
800	40488	10058
801	40532	10006
802	40586	9957
803	40633	9905
804	40677	9853
805	40723	9801
806	40768	9749
807	40823	9700
808	40873	9649
809	40919	9598
810	40959	9545
811	41004	9493
812	41046	9441
813	41088	9388
814	41137	9337
815	41179	9285
816	41225	9234
817	41265	9181
818	41305	9128
819	41345	9075
820	41384	9022
821	41424	8970
822	41465	8917
823	41505	8865
824	41549	8813
825	41589	8761
826	41628	8708
827	41667	8655
828	41710	8603
829	41751	8551
830	41792	8499
831	41831	8446
